filename,iteration,total_bins,total_area_left
10_2_generated_code.py,0,20,92658
11_2_generated_code.py,0,19,72658
12_2_generated_code.py,0,20,92658
13_2_generated_code.py,0,20,92658
14_2_generated_code.py,0,20,92658
15_2_generated_code.py,0,20,92658
16_2_generated_code.py,0,20,92658
17_2_generated_code.py,0,19,72658
18_2_generated_code.py,0,20,92658
19_2_generated_code.py,0,20,92658
1_2_generated_code.py,0,20,92658
20_2_generated_code.py,0,20,92658
2_2_generated_code.py,0,20,92658
3_2_generated_code.py,0,20,92658
4_2_generated_code.py,0,19,72658
5_2_generated_code.py,0,20,92658
6_2_generated_code.py,0,20,92658
7_2_generated_code.py,0,20,92658
8_2_generated_code.py,0,20,92658
9_2_generated_code.py,0,20,92658
10_2_generated_code.py,1,17,71723
11_2_generated_code.py,1,17,71723
12_2_generated_code.py,1,17,71723
13_2_generated_code.py,1,17,71723
14_2_generated_code.py,1,17,71723
15_2_generated_code.py,1,17,71723
16_2_generated_code.py,1,17,71723
17_2_generated_code.py,1,17,71723
18_2_generated_code.py,1,17,71723
19_2_generated_code.py,1,17,71723
1_2_generated_code.py,1,17,71723
20_2_generated_code.py,1,18,91723
2_2_generated_code.py,1,17,71723
3_2_generated_code.py,1,17,71723
4_2_generated_code.py,1,17,71723
5_2_generated_code.py,1,17,71723
6_2_generated_code.py,1,17,71723
7_2_generated_code.py,1,17,71723
8_2_generated_code.py,1,17,71723
9_2_generated_code.py,1,17,71723
10_2_generated_code.py,2,16,67109
11_2_generated_code.py,2,17,87109
12_2_generated_code.py,2,16,67109
13_2_generated_code.py,2,16,67109
14_2_generated_code.py,2,16,67109
15_2_generated_code.py,2,16,67109
16_2_generated_code.py,2,16,67109
17_2_generated_code.py,2,17,87109
18_2_generated_code.py,2,16,67109
19_2_generated_code.py,2,16,67109
1_2_generated_code.py,2,16,67109
20_2_generated_code.py,2,18,107109
2_2_generated_code.py,2,16,67109
3_2_generated_code.py,2,16,67109
4_2_generated_code.py,2,17,87109
5_2_generated_code.py,2,16,67109
6_2_generated_code.py,2,16,67109
7_2_generated_code.py,2,16,67109
8_2_generated_code.py,2,16,67109
9_2_generated_code.py,2,16,67109
